,,,
,,,
Informasi Kurs Jisdor,Informasi Kurs Jisdor,Informasi Kurs Jisdor,Informasi Kurs Jisdor
,,,
NO,Tanggal,Kurs,
1,7/31/2025 12:00:00 AM,16459,
2,7/30/2025 12:00:00 AM,16387,
3,7/29/2025 12:00:00 AM,16399,
4,7/28/2025 12:00:00 AM,16341,
5,7/25/2025 12:00:00 AM,16325,
6,7/24/2025 12:00:00 AM,16283,
7,7/23/2025 12:00:00 AM,16298,
8,7/22/2025 12:00:00 AM,16307,
9,7/21/2025 12:00:00 AM,16330,
10,7/18/2025 12:00:00 AM,16301,
11,7/17/2025 12:00:00 AM,16329,
12,7/16/2025 12:00:00 AM,16288,
13,7/15/2025 12:00:00 AM,16281,
14,7/14/2025 12:00:00 AM,16247,
15,7/11/2025 12:00:00 AM,16221,
16,7/10/2025 12:00:00 AM,16220,
17,7/9/2025 12:00:00 AM,16254,
18,7/8/2025 12:00:00 AM,16238,
19,7/7/2025 12:00:00 AM,16237,
20,7/4/2025 12:00:00 AM,16204,
21,7/3/2025 12:00:00 AM,16209,
22,7/2/2025 12:00:00 AM,16236,
23,7/1/2025 12:00:00 AM,16192,
24,6/30/2025 12:00:00 AM,16231,
25,6/26/2025 12:00:00 AM,16233,
26,6/25/2025 12:00:00 AM,16292,
27,6/24/2025 12:00:00 AM,16370,
28,6/23/2025 12:00:00 AM,16484,
29,6/20/2025 12:00:00 AM,16399,
30,6/19/2025 12:00:00 AM,16378,
31,6/18/2025 12:00:00 AM,16319,
32,6/17/2025 12:00:00 AM,16281,
33,6/16/2025 12:00:00 AM,16296,
34,6/13/2025 12:00:00 AM,16293,
35,6/12/2025 12:00:00 AM,16237,
36,6/11/2025 12:00:00 AM,16265,
37,6/10/2025 12:00:00 AM,16276,
38,6/5/2025 12:00:00 AM,16277,
39,6/4/2025 12:00:00 AM,16305,
40,6/3/2025 12:00:00 AM,16288,
41,6/2/2025 12:00:00 AM,16297,
42,5/28/2025 12:00:00 AM,16300,
43,5/27/2025 12:00:00 AM,16255,
44,5/26/2025 12:00:00 AM,16207,
45,5/23/2025 12:00:00 AM,16289,
46,5/22/2025 12:00:00 AM,16313,
47,5/21/2025 12:00:00 AM,16413,
48,5/20/2025 12:00:00 AM,16406,
49,5/19/2025 12:00:00 AM,16455,
50,5/16/2025 12:00:00 AM,16424,
51,5/15/2025 12:00:00 AM,16535,
52,5/14/2025 12:00:00 AM,16568,
53,5/9/2025 12:00:00 AM,16532,
54,5/8/2025 12:00:00 AM,16497,
55,5/7/2025 12:00:00 AM,16533,
56,5/6/2025 12:00:00 AM,16472,
57,5/5/2025 12:00:00 AM,16421,
58,5/2/2025 12:00:00 AM,16493,
59,4/30/2025 12:00:00 AM,16679,
60,4/29/2025 12:00:00 AM,16787,
61,4/28/2025 12:00:00 AM,16862,
62,4/25/2025 12:00:00 AM,16829,
63,4/24/2025 12:00:00 AM,16884,
64,4/23/2025 12:00:00 AM,16880,
65,4/22/2025 12:00:00 AM,16862,
66,4/21/2025 12:00:00 AM,16808,
67,4/17/2025 12:00:00 AM,16833,
68,4/16/2025 12:00:00 AM,16845,
69,4/15/2025 12:00:00 AM,16815,
70,4/14/2025 12:00:00 AM,16773,
71,4/11/2025 12:00:00 AM,16805,
72,4/10/2025 12:00:00 AM,16779,
73,4/9/2025 12:00:00 AM,16943,
74,4/8/2025 12:00:00 AM,16849,
75,3/27/2025 12:00:00 AM,16566,
76,3/26/2025 12:00:00 AM,16588,
77,3/25/2025 12:00:00 AM,16622,
78,3/24/2025 12:00:00 AM,16561,
79,3/21/2025 12:00:00 AM,16501,
80,3/20/2025 12:00:00 AM,16481,
81,3/19/2025 12:00:00 AM,16528,
82,3/18/2025 12:00:00 AM,16432,
83,3/17/2025 12:00:00 AM,16379,
84,3/14/2025 12:00:00 AM,16392,
85,3/13/2025 12:00:00 AM,16428,
86,3/12/2025 12:00:00 AM,16453,
87,3/11/2025 12:00:00 AM,16430,
88,3/10/2025 12:00:00 AM,16326,
89,3/7/2025 12:00:00 AM,16336,
90,3/6/2025 12:00:00 AM,16315,
91,3/5/2025 12:00:00 AM,16371,
92,3/4/2025 12:00:00 AM,16443,
93,3/3/2025 12:00:00 AM,16506,
94,2/28/2025 12:00:00 AM,16575,
95,2/27/2025 12:00:00 AM,16431,
96,2/26/2025 12:00:00 AM,16387,
97,2/25/2025 12:00:00 AM,16316,
98,2/24/2025 12:00:00 AM,16303,
99,2/21/2025 12:00:00 AM,16300,
100,2/20/2025 12:00:00 AM,16344,
101,2/19/2025 12:00:00 AM,16357,
102,2/18/2025 12:00:00 AM,16275,
103,2/17/2025 12:00:00 AM,16208,
104,2/14/2025 12:00:00 AM,16285,
105,2/13/2025 12:00:00 AM,16365,
106,2/12/2025 12:00:00 AM,16364,
107,2/11/2025 12:00:00 AM,16380,
108,2/10/2025 12:00:00 AM,16350,
109,2/7/2025 12:00:00 AM,16325,
110,2/6/2025 12:00:00 AM,16330,
111,2/5/2025 12:00:00 AM,16308,
112,2/4/2025 12:00:00 AM,16365,
113,2/3/2025 12:00:00 AM,16453,
114,1/31/2025 12:00:00 AM,16312,
115,1/30/2025 12:00:00 AM,16259,
116,1/24/2025 12:00:00 AM,16200,
117,1/23/2025 12:00:00 AM,16276,
118,1/22/2025 12:00:00 AM,16327,
119,1/21/2025 12:00:00 AM,16331,
120,1/20/2025 12:00:00 AM,16372,
121,1/17/2025 12:00:00 AM,16373,
122,1/16/2025 12:00:00 AM,16378,
123,1/15/2025 12:00:00 AM,16311,
